ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-EB-A4IQ-01	-1248.95	-585.11	-1834.06
TCGA-EB-A4IS-01	238.47	1648.18	1886.65
TCGA-EB-A4OY-01	-905.09	250.28	-654.81
TCGA-EB-A4OZ-01	-155.05	1791.31	1636.26
TCGA-EB-A4P0-01	-551.76	-128.79	-680.55
TCGA-EB-A4XL-01	-316.35	307.53	-8.82
TCGA-EB-A51B-01	-1488.31	-149.51	-1637.82
TCGA-EB-A550-01	-727.73	-401.12	-1128.85
TCGA-EB-A551-01	129.27	1794.55	1923.82
TCGA-EB-A553-01	-483.49	450.93	-32.56
TCGA-EB-A57M-01	593.31	333.55	926.86
TCGA-EB-A5FP-01	-1403	-885.22	-2288.22
TCGA-EB-A5KH-06	-714.02	-593.12	-1307.14
TCGA-EB-A5SE-01	-916.04	-702.15	-1618.19
TCGA-EB-A5SF-01	-304.51	-152.32	-456.82
TCGA-EB-A5SG-06	578.34	2944.39	3522.73
TCGA-EB-A5SH-06	-746.33	135.77	-610.56
TCGA-EB-A5UL-06	-992.92	794.79	-198.12
TCGA-EB-A5UM-01	-783.21	869.4	86.19
TCGA-EB-A5UN-06	-950.61	-46.76	-997.36
TCGA-EB-A5VU-01	-551.98	-462.46	-1014.44
TCGA-EB-A5VV-06	550.68	3622.19	4172.87
TCGA-EB-A6L9-06	157.15	2216.54	2373.7
TCGA-EB-A6QY-01	-1224.16	-481.35	-1705.5
TCGA-EB-A6QZ-01	-1009.71	-667.84	-1677.55
TCGA-EB-A6R0-01	-897.14	789.21	-107.93
TCGA-EB-A82B-01	-502.49	786.56	284.07
TCGA-EB-A82C-01	-1109.92	-966.98	-2076.9
TCGA-EB-A85I-01	-601.29	783.27	181.97
TCGA-EB-A85J-01	-932.44	1508.97	576.53
TCGA-EB-A97M-01	-585.84	552.89	-32.95
TCGA-EE-A17X-06	-1077.44	-254.96	-1332.39
TCGA-EE-A17Y-06	-557.91	-791.72	-1349.63
TCGA-EE-A17Z-06	-1067.76	-1236.28	-2304.04
TCGA-EE-A180-06	-597.66	-409.76	-1007.42
TCGA-EE-A181-06	-677.23	1419.94	742.71
TCGA-EE-A182-06	89.36	728.67	818.03
TCGA-EE-A183-06	-111.53	1545.94	1434.41
TCGA-EE-A184-06	-870.95	474.36	-396.59
TCGA-EE-A185-06	-1611.79	-1270.83	-2882.62
TCGA-EE-A20B-06	392.04	533.13	925.18
TCGA-EE-A20C-06	-1665.86	-590.65	-2256.52
TCGA-EE-A20F-06	-488.7	728.38	239.68
TCGA-EE-A20H-06	-1026.87	-1146.33	-2173.2
TCGA-EE-A20I-06	-92.78	156.03	63.25
TCGA-EE-A29A-06	-14.23	-1079.89	-1094.13
TCGA-EE-A29B-06	-986.67	14.84	-971.83
TCGA-EE-A29C-06	409.53	-55.12	354.41
TCGA-EE-A29D-06	-969.21	-660.52	-1629.73
TCGA-EE-A29E-06	-1341.07	-513.03	-1854.09
TCGA-EE-A29G-06	-112.02	308.79	196.78
TCGA-EE-A29H-06	-670.72	440.49	-230.23
TCGA-EE-A29L-06	-1773.71	-1149.64	-2923.35
TCGA-EE-A29M-06	-1052.45	680.13	-372.32
TCGA-EE-A29N-06	-224.07	1420.32	1196.25
TCGA-EE-A29P-06	215.85	2075.62	2291.46
TCGA-EE-A29Q-06	-1207.73	-668.97	-1876.7
TCGA-EE-A29R-06	-478.07	-806.33	-1284.39
TCGA-EE-A29S-06	-22.79	366.48	343.7
TCGA-EE-A29T-06	-110.67	1268.47	1157.8
TCGA-EE-A29V-06	-843.26	-683.73	-1526.99
TCGA-EE-A29W-06	424.78	-858.52	-433.74
TCGA-EE-A29X-06	-271.7	1125.43	853.74
TCGA-EE-A2A0-06	1817.91	1586.83	3404.74
TCGA-EE-A2A1-06	820.35	1713.12	2533.47
TCGA-EE-A2A2-06	-1044.41	469.53	-574.88
TCGA-EE-A2A5-06	-186.1	-619.45	-805.54
TCGA-EE-A2A6-06	-767.37	1243.74	476.36
TCGA-EE-A2GB-06	-758.04	-431.29	-1189.32
TCGA-EE-A2GC-06	91.07	1305.9	1396.97
TCGA-EE-A2GD-06	993.7	642.39	1636.09
TCGA-EE-A2GE-06	1322.45	2120.17	3442.62
TCGA-EE-A2GH-06	854.18	2268.23	3122.41
TCGA-EE-A2GI-06	-561.22	1087.9	526.68
TCGA-EE-A2GJ-06	-349.92	1204.04	854.11
TCGA-EE-A2GK-06	573.42	3394.83	3968.25
TCGA-EE-A2GL-06	-339.25	1970.11	1630.86
TCGA-EE-A2GM-06	-918.6	-465.12	-1383.72
TCGA-EE-A2GN-06	-190.78	-429.59	-620.37
TCGA-EE-A2GO-06	-805.83	-720.34	-1526.16
TCGA-EE-A2GP-06	513.19	509.7	1022.9
TCGA-EE-A2GR-06	-1086.64	-1121.23	-2207.87
TCGA-EE-A2GS-06	-330.56	202.56	-128
TCGA-EE-A2GT-06	-282.89	1777.78	1494.89
TCGA-EE-A2GU-06	-1107.14	1163.24	56.09
TCGA-EE-A2M5-06	-658.02	727.08	69.07
TCGA-EE-A2M6-06	-798.94	614.86	-184.08
TCGA-EE-A2M7-06	-155.34	549.65	394.31
TCGA-EE-A2M8-06	1067.16	2984.45	4051.61
TCGA-EE-A2MC-06	497.78	1980.04	2477.82
TCGA-EE-A2MD-06	-734.32	98.21	-636.12
TCGA-EE-A2ME-06	1059.17	3046.64	4105.81
TCGA-EE-A2MF-06	-922.25	149.19	-773.06
TCGA-EE-A2MG-06	691.91	2306.96	2998.87
TCGA-EE-A2MH-06	-466.25	1472.69	1006.44
TCGA-EE-A2MI-06	179.83	1081.69	1261.51
TCGA-EE-A2MJ-06	-32.45	2092.69	2060.24
TCGA-EE-A2MK-06	-44.05	1167.71	1123.66
TCGA-EE-A2ML-06	-511.01	726.01	215
TCGA-EE-A2MM-06	-767.57	-80.64	-848.21
TCGA-EE-A2MN-06	-533.3	1174.57	641.27
TCGA-EE-A2MP-06	-437.66	877.2	439.54
TCGA-EE-A2MQ-06	-211.4	177.6	-33.8
TCGA-EE-A2MR-06	487.06	2532.77	3019.83
TCGA-EE-A2MS-06	-634.13	82.44	-551.7
TCGA-EE-A2MT-06	-1433.13	-279.64	-1712.77
TCGA-EE-A2MU-06	375.11	1806.58	2181.69
TCGA-EE-A3AA-06	-577.19	1165.72	588.53
TCGA-EE-A3AB-06	241.17	1265.58	1506.76
